scripCode,tickSize,instType,lotSize,companyName,indices,groupName,industry,isinCode,expiry,strike,multiplier,optionType,tradingSymbol
1,5.0,SM,0,GOLDSTAR POWER LIMITED,0,NA,NA,INE405Y01021,,0.0,0.0,,GOLDSTAR
7,5.0,EQ,0,AARTI INDUSTRIES LIMITED,"26002,26011,26036,26043,26072,26080,26081,26082,26083,26084",NA,Chemicals - Speciality,INE769A01020,,0.0,0.0,,AARTIIND
13,5.0,EQ,0,ABB INDIA LIMITED,"20004,26002,26011,26012,26030,26037,26043,26058,26072,26077,26082",NA,Electric Equipment - General,INE117A01022,,0.0,0.0,,ABB
19,5.0,EQ,0,STYRENIX PERFORMANCE MATERIALS LIMITED,0,NA,Petrochem - Polymers,INE189B01011,,0.0,0.0,,STYRENIX
22,5.0,EQ,0,ACC LIMITED,"26002,26007,26011,26014,26037,26041,26043,26044,26072,26076,26081,26082,26085",NA,Cement,INE012A01025,,0.0,0.0,,ACC
25,5.0,EQ,0,ADANI ENTERPRISES LIMITED,"20000,26002,26011,26012,26034,26037,26043,26045,26072,26082",NA,Trading,INE423A01024,,0.0,0.0,,ADANIENT
27,1.0,BE,0,GACM TECHNOLOGIES LIMITED,0,NA,NA,INE224E01036,,0.0,0.0,,GATECHDVR
34,5.0,EQ,0,ADOR WELDING LIMITED,"26011,26043",NA,Welding Equipments,INE045A01017,,0.0,0.0,,ADORWELD
40,5.0,EQ,0,AEGIS LOGOSTICS LIMITED,"26002,26067,26080,26081,26082,26085",NA,Logistics - Warehousing/Supply Chain/Others,INE208C01025,,0.0,0.0,,AEGISLOG
46,1.0,BZ,0,SANWARIA CONSUMER LIMITED,0,NA,Edible Oils & Solvent Extraction,INE890C01046,,0.0,0.0,,SANWARIA
48,5.0,EQ,0,HAPPIEST MINDS TECHNOLOGIES LIMITED,"26002,26011,26036,26043,26080,26081,26082,26083",NA,IT Consulting & Software,INE419U01012,,0.0,0.0,,HAPPSTMNDS
79,1.0,EQ,0,ALEMBIC LIMITED,"26011,26043",NA,Realty,INE426A01027,,0.0,0.0,,ALEMBICLTD
81,5.0,SM,0,BETA DRUGS LIMITED,0,NA,NA,INE351Y01019,,0.0,0.0,,BETA
99,5.0,ST,0,CMM INFRAPROJECTS LIMITED,0,NA,NA,INE289S01013,,0.0,0.0,,CMMIPL
100,5.0,EQ,0,AMARA RAJA ENERGY & MOBILITY LIMITED,"26002,26036,26080,26081,26082,26083,26084,26085",NA,Auto Ancl - Batteries,INE885A01032,,0.0,0.0,,ARE&M
104,5.0,EQ,0,SHARE INDIA SECURITIES LIMITED,"26011,26043,26082",NA,Finance & Investments,INE932X01026,,0.0,0.0,,SHAREINDIA
117,5.0,SM,0,OMFURN INDIA LIMITED,0,NA,NA,INE338Y01016,,0.0,0.0,,OMFURN
128,5.0,EQ,0,ROUTE MOBILE LIMITED,"26002,26011,26043,26080,26081,26082,26085",NA,IT Enabled Services,INE450U01017,,0.0,0.0,,ROUTE
136,1.0,EQ,0,ANDHRA SUGARS LIMITED,"26011,26043",NA,Chemicals - Others,INE715B01021,,0.0,0.0,,ANDHRSUGAR
143,1.0,BE,0,SHREE RAM PROTEINS LIMITED,0,NA,NA,INE008Z01020,,0.0,0.0,,SRPL
144,5.0,EQ,0,GODREJ AGROVET LIMITED,"26011,26043,26082",NA,Animal/Shrimp Feed,INE850D01014,,0.0,0.0,,GODREJAGRO
149,1.0,GB,0,2.50% SOVEREIGN GOLD BONDS (SGBS) RED IN SEPT 2028 (SERIES VI),0,NA,NA,IN0020200195,,0.0,0.0,,SGBSEP28VI
154,5.0,EQ,0,APCOTEX INDUSTRIES LIMITED,"26011,26043",NA,Rubber Processing/Rubber Products,INE116A01032,,0.0,0.0,,APCOTEXIND
